fid,3D_Easting,3D_Northing,fid_2,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
119,349208.093372816,124104.538811064,314781,Roads Tracks And Paths,349207.9,124103.9,0.193372816080227,0.638811063516187,0.667437353516777
120,349735.791784112,120478.821614043,320571,Roads Tracks And Paths,349734.87,120476.99,0.921784111706074,1.83161404253042,2.0504867591351
121,349380.53114192,124544.140884369,302759,Roads Tracks And Paths,349380.31,124546.882,0.221141919610091,-2.74111563050246,2.75002157235062
122,349824.665828759,120576.560191589,320945,Roads Tracks And Paths,349822.87,120576.89,1.7958287592046,-0.329808411290287,1.82586267844659
123,349429.455686719,124771.716211927,302237,Roads Tracks And Paths,349432.47,124771.75,-3.01431328122271,-0.033788073080359,3.01450264409208
125,349810.969300903,124644.268869731,378416,Roads Tracks And Paths,349813.712,124643.986,-2.74269909673603,0.282869730552193,2.75724747160992
126,349434.849751231,124942.707829263,308464,Roads Tracks And Paths,349435.41,124942.56,-0.560248769004829,0.147829263325548,0.579424002149377
127,349770.213151807,124704.539327395,378333,Roads Tracks And Paths,349771.61,124705.74,-1.39684819302056,-1.20067260503129,1.84195536830223
128,349192.306299951,123966.247884672,314825,Roads Tracks And Paths,349190.82,123968.1,1.4862999508623,-1.85211532813264,2.37474603539771
129,349829.4201948,124602.60556219,378339,Roads Tracks And Paths,349833.855,124604.438,-4.43480519967852,-1.83243780973135,4.79847116127925
130,349230.271886018,124194.015527979,314854,Roads Tracks And Paths,349230.34,124194.05,-0.0681139825028367,-0.0344720205030171,0.0763402568109198
131,349734.86268188,120491.626285837,320640,Roads Tracks And Paths,349735.11,120493.11,-0.247318119509146,-1.48371416349255,1.50418548430236
132,349397.272762532,124613.265770356,302410,Roads Tracks And Paths,349394.64,124610.64,2.63276253221557,2.625770356055,3.71834755150394
133,349913.948057152,124495.264230644,378355,Roads Tracks And Paths,349917.64,124494.58,-3.69194284843979,0.68423064435774,3.75481205532633
135,349632.055647671,124720.773795764,378316,Roads Tracks And Paths,349632.55,124719.21,-0.494352328823879,1.56379576410109,1.64007360104176
137,349849.544791957,124581.965966356,378344,Roads Tracks And Paths,349849.69,124585.46,-0.145208043162711,-3.49403364372847,3.49704968213287
138,349783.283343493,124690.371116542,378461,Roads Tracks And Paths,349781.36,124691.98,1.92334349284647,-1.60888345794228,2.5075398646313
139,349221.833787724,124176.456250843,314765,Roads Tracks And Paths,349223.3,124175.48,-1.46621227561263,0.97625084342144,1.76148918430919
141,349731.67662069,120466.043180534,320577,Roads Tracks And Paths,349732.27,120467.39,-0.59337930980837,-1.34681946605269,1.47174103681562
142,349379.235768008,124540.04214664,302763,Roads Tracks And Paths,349379.548,124540.532,-0.312231992429588,-0.48985335972975,0.580900276411601
143,349809.590232415,120562.462424253,320675,Roads Tracks And Paths,349810.29,120563.68,-0.69976758537814,-1.21757574717049,1.40433805532846
144,349418.902732667,124720.987177379,377713,Roads Tracks And Paths,349419.05,124721.84,-0.147267332533374,-0.852822620654479,0.8654444462422
145,349866.891643373,124555.307699111,378347,Roads Tracks And Paths,349869.38,124555.42,-2.48835662729107,-0.112300889231847,2.49088943839458
146,349435.826567583,124924.887830194,377683,Roads Tracks And Paths,349437.04,124928.4,-1.21343241742579,-3.51216980605386,3.71587876258312
147,349742.580377934,124737.151284086,378327,Roads Tracks And Paths,349744.16,124738.45,-1.57962206570664,-1.29871591441042,2.04496183260476
148,349941.702445227,124737.20712887,378433,Roads Tracks And Paths,349941.29,124737.87,0.41244522674242,-0.662871130451094,0.780710702275893
149,349194.480900326,123972.876536661,314838,Roads Tracks And Paths,349194.6,123974.2,-0.119099673815072,-1.32346333884925,1.32881147706545
150,349231.49101926,124200.45877052,314855,Roads Tracks And Paths,349231.019,124199.659,0.472019260167144,0.799770520345191,0.928673821738266
