fid,OGC_FID,3D_Easting,3D_Northing,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
12439,42,301202.365,142718.4149,Buildings,301200.35,142716.3,2.014983412,2.114935159,2.921148554
14125,936,301537.4323,125866.9609,Buildings,301534.71,125865.62,2.72230182,1.340904018,3.034625312
14126,902,301537.4595,125875.7102,Buildings,301534.56,125874.77,2.899537907,0.940246119,3.04817697
14605,857,300794.1325,126541.5397,Buildings,300792.51,126540.98,1.622501211,0.559706355,1.716327878
14682,968,301187.8335,126931.0476,Buildings,301184.94,126930.38,2.893517897,0.667608659,2.96953652
14731,880,301177.6096,126967.4179,Buildings,301174.22,126967.42,3.389558436,-0.002109291,3.389559092
14755,877,300952.5907,126439.1468,Buildings,300950.78,126438.96,1.810708309,0.186803102,1.820318647
14769,895,301271.8533,126984.635,Buildings,301268.8,126983.85,3.053283131,0.785003231,3.152581156
14803,862,301247.301,126942.7844,Buildings,301247.92,126943.57,-0.619022664,-0.78557352,1.000157395
15873,750,303021.36,132737.1303,Buildings,303019.03,132736.25,2.329956192,0.880305753,2.490709552
15876,765,303022.6345,132743.809,Buildings,303020.32,132743.09,2.314482383,0.718993923,2.423588448
15877,750,303021.36,132737.1303,Buildings,303019.03,132736.25,2.329956192,0.880305753,2.490709552
15963,14,302165.1072,141037.2094,Buildings,302161.48,141035.57,3.627212181,1.639358624,3.98047295
16050,30,302650.1063,141151.3451,Buildings,302647.945,141150.709,2.161308145,0.636064555,2.2529605
16383,780,303008.3921,126271.7595,Buildings,303006.72,126270.85,1.672130774,0.909506912,1.903476858
16384,803,303008.3839,126253.9997,Buildings,303006.38,126252.73,2.003904553,1.269650677,2.372266069
17096,876,303524.1228,125499.8788,Buildings,303524.14,125497.03,-0.017217177,2.848806319,2.848858346
17102,963,303519.0429,125515.1216,Buildings,303516.92,125515.03,2.122930617,0.091608576,2.124906242
17601,1110,302172.4302,133930.6855,Buildings,302170.35,133930.1,2.08015967,0.585537167,2.160999312
17639,604,302665.4456,132819.7474,Buildings,302665.033,132819.073,0.412644915,0.674444118,0.790664716
17641,495,302660.7423,132802.3508,Buildings,302660.314,132801.41,0.428259671,0.940774644,1.033664973
17643,538,302687.5627,132795.2618,Buildings,302687.5,132794.148,0.062665695,1.113797533,1.115559023
17663,762,303093.139,132745.21,Buildings,303090.531,132744.508,2.60799412,0.701989466,2.700818864
17684,756,303081.0457,132741.3075,Buildings,303078.25,132740.71,2.795698367,0.597454226,2.858825093
17703,978,302211.9976,133925.0993,Buildings,302209.4,133924.19,2.597622559,0.909340803,2.752188885
17714,1139,302933.5292,133988.9573,Buildings,302931.27,133988.43,2.259249821,0.527344394,2.319978849
18529,1224,301557.3397,129970.8611,Buildings,301558.583,129969.96,-1.243306605,0.901091379,1.53550545
18620,971,301487.8865,125886.5857,Buildings,301485.27,125884.92,2.616532158,1.665689418,3.101735284
